# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2022-01-30T00:00:00.0,
# Date end (ISO 8601): 2025-01-01T00:00:00.0,
# Latitude (positive North,ISO 19115): 43.9804
# Longitude (positive East,ISO 19115): 0.5724
# Altitude (m): 128.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2026-01-22,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2022-05-28T09:00:00.0/2022-05-28T10:00:00.0;1051.2843;826.5380;736.5727;89.9653;928.8108;721.1240;378.5137;342.6103;478.1921;1.0000,
2022-05-28T10:00:00.0/2022-05-28T11:00:00.0;1162.4969;926.2726;832.0928;94.1798;949.0840;819.0512;443.5746;375.4765;504.4928;1.0000,
2022-05-28T11:00:00.0/2022-05-28T12:00:00.0;1217.4724;976.2092;879.6334;96.5758;958.0716;970.9560;858.2971;112.6589;934.5528;1.0000,
2022-05-28T12:00:00.0/2022-05-28T13:00:00.0;1212.4772;972.3607;877.5553;94.8054;959.7372;972.3607;877.5553;94.8054;959.7372;1.0000,
2022-05-28T13:00:00.0/2022-05-28T14:00:00.0;1147.8654;915.1031;826.1220;88.9811;954.2578;915.1031;826.1220;88.9811;954.2578;1.0000,
2022-05-28T14:00:00.0/2022-05-28T15:00:00.0;1028.0542;809.1178;727.6139;81.5039;938.2127;809.1178;727.6139;81.5039;938.2127;1.0000,
2022-05-28T15:00:00.0/2022-05-28T16:00:00.0;861.2222;662.3242;587.5524;74.7718;903.7299;662.3242;587.5524;74.7718;903.7299;1.0000,
2022-05-28T16:00:00.0/2022-05-28T17:00:00.0;658.7510;486.2321;418.5056;67.7264;840.1283;486.2321;418.5056;67.7264;840.1283;1.0000,
2022-05-28T17:00:00.0/2022-05-28T18:00:00.0;434.4481;296.3853;240.5233;55.8620;727.3452;296.3853;240.5233;55.8620;727.3452;1.0000,
2022-05-28T18:00:00.0/2022-05-28T19:00:00.0;203.6062;115.4726;80.5843;34.8883;491.7804;115.4726;80.5843;34.8883;491.7804;1.0000,
2022-05-28T19:00:00.0/2022-05-28T20:00:00.0;18.3458;6.5546;2.6361;3.9185;53.0927;6.5546;2.6361;3.9185;53.0927;0.8167,
2022-05-28T20:00:00.0/2022-05-28T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-28T21:00:00.0/2022-05-28T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-28T22:00:00.0/2022-05-28T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-28T23:00:00.0/2022-05-29T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-29T00:00:00.0/2022-05-29T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-29T01:00:00.0/2022-05-29T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-29T02:00:00.0/2022-05-29T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-29T03:00:00.0/2022-05-29T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-29T04:00:00.0/2022-05-29T05:00:00.0;36.7508;14.9581;7.0371;7.9210;105.2464;14.9581;7.0371;7.9210;105.2464;0.7167,
2022-05-29T05:00:00.0/2022-05-29T06:00:00.0;242.4298;145.5397;103.8026;41.7371;543.5365;145.5397;103.8026;41.7371;543.5365;0.8500,
2022-05-29T06:00:00.0/2022-05-29T07:00:00.0;473.2945;332.8431;269.9729;62.8702;750.7182;332.8431;269.9729;62.8702;750.7182;1.0000,
2022-05-29T07:00:00.0/2022-05-29T08:00:00.0;695.0012;523.6911;447.4864;76.2047;851.6614;523.6911;447.4864;76.2047;851.6614;1.0000,
2022-05-29T08:00:00.0/2022-05-29T09:00:00.0;892.4503;697.3533;612.2585;85.0947;908.7098;697.3533;612.2585;85.0947;908.7098;1.0000,
2022-05-29T09:00:00.0/2022-05-29T10:00:00.0;1052.1960;838.0416;746.5849;91.4568;940.3596;838.0416;746.5849;91.4568;940.3596;1.0000,
2022-05-29T10:00:00.0/2022-05-29T11:00:00.0;1163.3625;934.6323;838.7112;95.9210;955.6188;934.6323;838.7112;95.9210;955.6188;1.0000,
2022-05-29T11:00:00.0/2022-05-29T12:00:00.0;1218.3853;981.0961;882.6601;98.4360;960.3243;981.0961;882.6601;98.4360;960.3243;1.0000,
2022-05-29T12:00:00.0/2022-05-29T13:00:00.0;1213.5271;975.7366;879.8304;95.9062;961.0679;975.7366;879.8304;95.9062;961.0679;1.0000,
2022-05-29T13:00:00.0/2022-05-29T14:00:00.0;1149.1323;919.1276;830.6640;88.4636;958.1367;919.1276;830.6640;88.4636;958.1367;1.0000,
2022-05-29T14:00:00.0/2022-05-29T15:00:00.0;1029.6027;813.7700;734.3944;79.3756;945.2509;813.7700;734.3944;79.3756;945.2509;1.0000,
2022-05-29T15:00:00.0/2022-05-29T16:00:00.0;863.0972;667.1108;595.0153;72.0955;912.9335;667.1108;595.0153;72.0955;912.9335;1.0000,
2022-05-29T16:00:00.0/2022-05-29T17:00:00.0;660.9745;490.7000;425.2393;65.4606;850.5702;490.7000;425.2393;65.4606;850.5702;1.0000,
2022-05-29T17:00:00.0/2022-05-29T18:00:00.0;437.0181;300.4925;246.3398;54.1527;740.6570;300.4925;246.3398;54.1527;740.6570;1.0000,
2022-05-29T18:00:00.0/2022-05-29T19:00:00.0;206.4964;118.9488;84.9314;34.0173;514.0139;118.9488;84.9314;34.0173;514.0139;1.0000,
2022-05-29T19:00:00.0/2022-05-29T20:00:00.0;19.6424;7.2892;3.2377;4.0515;64.1031;7.2892;3.2377;4.0515;64.1031;0.8167,
2022-05-29T20:00:00.0/2022-05-29T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-29T21:00:00.0/2022-05-29T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-29T22:00:00.0/2022-05-29T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-29T23:00:00.0/2022-05-30T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-30T00:00:00.0/2022-05-30T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-30T01:00:00.0/2022-05-30T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-30T02:00:00.0/2022-05-30T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-30T03:00:00.0/2022-05-30T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-30T04:00:00.0/2022-05-30T05:00:00.0;37.9557;15.6014;7.6940;7.9073;114.6621;3.6136;0.0000;3.6136;0.0000;0.7083,
2022-05-30T05:00:00.0/2022-05-30T06:00:00.0;244.1895;146.7871;106.3145;40.4726;553.8501;125.9914;88.8151;37.1764;416.2799;0.9750,
2022-05-30T06:00:00.0/2022-05-30T07:00:00.0;474.7315;333.2809;271.7760;61.5049;753.4738;285.5945;154.6354;130.9591;439.4840;1.0000,
2022-05-30T07:00:00.0/2022-05-30T08:00:00.0;696.1646;523.7206;447.5869;76.1337;850.2144;493.5384;365.1223;128.4161;704.5483;1.0000,
2022-05-30T08:00:00.0/2022-05-30T09:00:00.0;893.4077;697.7686;610.7809;86.9876;905.2620;652.0716;469.1990;182.8727;688.4907;1.0000,
2022-05-30T09:00:00.0/2022-05-30T10:00:00.0;1053.0289;839.6810;744.6368;95.0442;936.8357;809.5941;630.9198;178.6743;796.0390;1.0000,
2022-05-30T10:00:00.0/2022-05-30T11:00:00.0;1164.1605;937.8519;837.1447;100.7071;952.8576;933.1691;818.9312;114.2379;931.3857;1.0000,
2022-05-30T11:00:00.0/2022-05-30T12:00:00.0;1219.2399;985.6406;881.1870;104.4536;957.7273;985.6406;881.1870;104.4536;957.7273;1.0000,
2022-05-30T12:00:00.0/2022-05-30T13:00:00.0;1214.5256;977.6141;867.1083;110.5058;946.0149;977.6141;867.1083;110.5058;946.0149;1.0000,
2022-05-30T13:00:00.0/2022-05-30T14:00:00.0;1150.3517;914.5025;796.4352;118.0673;917.1893;914.5025;796.4352;118.0673;917.1893;1.0000,
2022-05-30T14:00:00.0/2022-05-30T15:00:00.0;1031.1044;802.4314;680.9996;121.4318;874.5544;790.9511;652.0938;138.8574;835.2225;1.0000,
2022-05-30T15:00:00.0/2022-05-30T16:00:00.0;864.9227;650.4961;532.4224;118.0737;814.4072;606.8780;421.2253;185.6527;642.1904;1.0000,
2022-05-30T16:00:00.0/2022-05-30T17:00:00.0;663.1428;470.9692;364.4762;106.4930;725.2498;453.1352;317.6970;135.4382;639.3345;1.0000,
2022-05-30T17:00:00.0/2022-05-30T18:00:00.0;439.5242;280.2941;194.9332;85.3608;579.4694;249.3379;137.0251;112.3128;421.3833;1.0000,
2022-05-30T18:00:00.0/2022-05-30T19:00:00.0;209.3120;105.2941;56.6653;48.6288;329.3296;105.2941;56.6653;48.6288;329.3296;1.0000,
2022-05-30T19:00:00.0/2022-05-30T20:00:00.0;20.9483;6.4257;1.4736;4.9521;27.7591;6.4257;1.4736;4.9521;27.7591;0.8000,
2022-05-30T20:00:00.0/2022-05-30T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-30T21:00:00.0/2022-05-30T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-30T22:00:00.0/2022-05-30T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-30T23:00:00.0/2022-05-31T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-31T00:00:00.0/2022-05-31T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-31T01:00:00.0/2022-05-31T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-31T02:00:00.0/2022-05-31T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-31T03:00:00.0/2022-05-31T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-31T04:00:00.0/2022-05-31T05:00:00.0;39.0657;12.7229;2.9899;9.7330;42.0163;2.0042;0.0000;2.0042;0.0000;0.7083,
2022-05-31T05:00:00.0/2022-05-31T06:00:00.0;245.8239;125.6130;65.1740;60.4391;327.9531;86.6525;23.3931;63.2594;94.1038;0.9750,
2022-05-31T06:00:00.0/2022-05-31T07:00:00.0;476.0537;301.8029;200.0068;101.7961;550.4380;289.0388;183.7719;105.2670;499.1612;1.0000,
2022-05-31T07:00:00.0/2022-05-31T08:00:00.0;697.2253;486.7680;353.8083;132.9597;669.9393;481.8332;339.8608;141.9724;646.1918;1.0000,
2022-05-31T08:00:00.0/2022-05-31T09:00:00.0;894.2752;657.4276;501.3258;156.1018;741.7239;655.2372;495.1726;160.0646;731.9277;1.0000,
2022-05-31T09:00:00.0/2022-05-31T10:00:00.0;1053.7842;799.2706;633.7430;165.5275;796.0963;771.7863;557.9733;213.8130;701.8944;1.0000,
2022-05-31T10:00:00.0/2022-05-31T11:00:00.0;1164.8920;900.3379;740.9182;159.4198;842.3506;897.3112;732.1738;165.1375;832.0520;1.0000,
2022-05-31T11:00:00.0/2022-05-31T12:00:00.0;1220.0371;951.5124;803.6661;147.8463;872.5745;908.0406;649.9872;258.0535;706.6583;1.0000,
2022-05-31T12:00:00.0/2022-05-31T13:00:00.0;1215.4733;948.5637;810.2548;138.3090;883.0554;803.4696;467.5325;335.9372;509.0006;1.0000,
2022-05-31T13:00:00.0/2022-05-31T14:00:00.0;1151.5237;892.0966;760.5312;131.5654;874.7891;879.9783;731.0076;148.9707;841.8992;1.0000,
2022-05-31T14:00:00.0/2022-05-31T15:00:00.0;1032.5587;787.4838;665.2558;122.2279;853.0984;787.4838;665.2558;122.2279;853.0984;1.0000,
2022-05-31T15:00:00.0/2022-05-31T16:00:00.0;866.6978;642.6769;531.4761;111.2008;811.2885;642.6769;531.4761;111.2008;811.2885;1.0000,
2022-05-31T16:00:00.0/2022-05-31T17:00:00.0;665.2545;469.4971;372.2663;97.2308;738.7363;455.8920;348.3288;107.5632;684.1205;1.0000,
2022-05-31T17:00:00.0/2022-05-31T18:00:00.0;441.9650;284.0381;207.3191;76.7190;614.2224;230.7408;88.7476;141.9932;257.7446;1.0000,
2022-05-31T18:00:00.0/2022-05-31T19:00:00.0;212.0513;109.9880;64.7814;45.2067;374.8050;95.5390;34.5128;61.0261;208.0841;1.0000,
2022-05-31T19:00:00.0/2022-05-31T20:00:00.0;22.2587;7.1176;1.9288;5.1888;35.4423;7.1176;1.9288;5.1888;35.4423;0.7917,
2022-05-31T20:00:00.0/2022-05-31T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-31T21:00:00.0/2022-05-31T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-31T22:00:00.0/2022-05-31T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-05-31T23:00:00.0/2022-06-01T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-01T00:00:00.0/2022-06-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-01T01:00:00.0/2022-06-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-01T02:00:00.0/2022-06-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-01T03:00:00.0/2022-06-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-01T04:00:00.0/2022-06-01T05:00:00.0;40.1570;13.8972;4.3535;9.5437;60.8466;13.8972;4.3535;9.5437;60.8466;0.7000,
2022-06-01T05:00:00.0/2022-06-01T06:00:00.0;247.3335;132.2838;78.8927;53.3911;398.8221;132.2838;78.8927;53.3911;398.8221;0.9750,
2022-06-01T06:00:00.0/2022-06-01T07:00:00.0;477.2624;310.9741;227.3681;83.6061;624.5469;310.9741;227.3681;83.6061;624.5469;1.0000,
2022-06-01T07:00:00.0/2022-06-01T08:00:00.0;698.1848;497.1888;395.6094;101.5794;748.0364;496.4715;393.5724;102.8991;744.6524;1.0000,
2022-06-01T08:00:00.0/2022-06-01T09:00:00.0;895.0540;668.4525;556.5937;111.8588;822.5599;629.4673;455.8050;173.6624;667.0419;1.0000,
2022-06-01T09:00:00.0/2022-06-01T10:00:00.0;1054.4630;809.5380;691.8244;117.7136;868.4894;809.5380;691.8244;117.7136;868.4894;1.0000,
2022-06-01T10:00:00.0/2022-06-01T11:00:00.0;1165.5579;909.2589;788.6484;120.6105;895.9348;909.2589;788.6484;120.6105;895.9348;1.0000,
2022-06-01T11:00:00.0/2022-06-01T12:00:00.0;1220.7777;959.9755;839.1571;120.8184;910.2924;959.9755;839.1571;120.8184;910.2924;1.0000,
2022-06-01T12:00:00.0/2022-06-01T13:00:00.0;1216.3705;955.3029;832.0216;123.2813;905.7833;955.3029;832.0216;123.2813;905.7833;1.0000,
2022-06-01T13:00:00.0/2022-06-01T14:00:00.0;1152.6483;895.5464;767.7902;127.7562;881.8900;895.5464;767.7902;127.7562;881.8900;1.0000,
2022-06-01T14:00:00.0/2022-06-01T15:00:00.0;1033.9656;787.6503;658.8816;128.7687;843.2936;787.6503;658.8816;128.7687;843.2936;1.0000,
2022-06-01T15:00:00.0/2022-06-01T16:00:00.0;868.4218;641.0005;518.6097;122.3908;789.7099;641.0005;518.6097;122.3908;789.7099;1.0000,
2022-06-01T16:00:00.0/2022-06-01T17:00:00.0;667.3085;467.3834;359.7370;107.6464;711.1876;467.3834;359.7370;107.6464;711.1876;1.0000,
2022-06-01T17:00:00.0/2022-06-01T18:00:00.0;444.3388;281.6894;196.9719;84.7175;579.6290;281.6894;196.9719;84.7175;579.6290;1.0000,
2022-06-01T18:00:00.0/2022-06-01T19:00:00.0;214.7125;107.3642;57.3685;49.9957;322.8407;107.3642;57.3685;49.9957;322.8407;1.0000,
2022-06-01T19:00:00.0/2022-06-01T20:00:00.0;23.5685;7.0902;1.4107;5.6794;24.9694;7.0902;1.4107;5.6794;24.9694;0.7833,
2022-06-01T20:00:00.0/2022-06-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-01T21:00:00.0/2022-06-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-01T22:00:00.0/2022-06-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-01T23:00:00.0/2022-06-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-02T00:00:00.0/2022-06-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-02T01:00:00.0/2022-06-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-02T02:00:00.0/2022-06-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-02T03:00:00.0/2022-06-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-02T04:00:00.0/2022-06-02T05:00:00.0;41.1423;13.6494;3.4608;10.1887;47.3944;1.9055;0.0000;1.9055;0.0000;0.7000,
2022-06-02T05:00:00.0/2022-06-02T06:00:00.0;248.7194;128.5631;69.4952;59.0679;346.9970;17.4942;0.0000;17.4942;0.0000;0.9750,
2022-06-02T06:00:00.0/2022-06-02T07:00:00.0;478.3586;304.5412;208.7523;95.7889;571.4206;42.4294;0.0009;42.4285;0.0027;1.0000,
2022-06-02T07:00:00.0/2022-06-02T08:00:00.0;699.0442;488.4431;368.1517;120.2915;694.8821;133.5676;2.5839;130.9836;4.3950;1.0000,
2022-06-02T08:00:00.0/2022-06-02T09:00:00.0;895.7456;657.5638;520.9399;136.6239;768.9879;256.5155;6.6369;249.8786;9.8541;1.0000,
2022-06-02T09:00:00.0/2022-06-02T10:00:00.0;1055.0668;796.3370;647.5266;148.8104;812.1849;274.9160;5.6166;269.2993;7.2654;1.0000,
2022-06-02T10:00:00.0/2022-06-02T11:00:00.0;1166.1594;893.6866;735.3265;158.3601;834.6924;244.2134;3.0434;241.1700;3.3752;1.0000,
2022-06-02T11:00:00.0/2022-06-02T12:00:00.0;1221.4625;942.1754;777.6558;164.5196;842.8532;683.0738;220.6774;462.3965;238.4061;1.0000,
2022-06-02T12:00:00.0/2022-06-02T13:00:00.0;1217.2178;935.7374;762.6729;173.0645;829.4218;626.6973;236.1208;390.5764;256.0799;1.0000,
2022-06-02T13:00:00.0/2022-06-02T14:00:00.0;1153.7257;874.6790;692.5629;182.1161;794.3942;780.7317;402.9791;377.7526;465.2380;1.0000,
2022-06-02T14:00:00.0/2022-06-02T15:00:00.0;1035.3246;765.6519;580.9109;184.7409;742.0486;227.2617;49.0443;178.2175;59.4852;1.0000,
2022-06-02T15:00:00.0/2022-06-02T16:00:00.0;870.0940;619.9624;448.0823;171.8801;680.6544;451.5370;176.7435;274.7935;278.7917;1.0000,
2022-06-02T16:00:00.0/2022-06-02T17:00:00.0;669.3036;449.5868;305.7065;143.8802;601.9749;416.8792;237.7283;179.1509;475.5064;1.0000,
2022-06-02T17:00:00.0/2022-06-02T18:00:00.0;446.6442;268.1588;161.4019;106.7568;471.1909;267.8239;160.9647;106.8592;469.4745;1.0000,
2022-06-02T18:00:00.0/2022-06-02T19:00:00.0;217.2939;101.6035;44.3251;57.2784;245.2106;94.6714;35.9653;58.7061;207.0158;1.0000,
2022-06-02T19:00:00.0/2022-06-02T20:00:00.0;24.8531;7.1505;1.0483;6.1022;17.9217;7.1505;1.0483;6.1022;17.9217;0.7833,
2022-06-02T20:00:00.0/2022-06-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-02T21:00:00.0/2022-06-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-02T22:00:00.0/2022-06-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-02T23:00:00.0/2022-06-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-03T00:00:00.0/2022-06-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-03T01:00:00.0/2022-06-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-03T02:00:00.0/2022-06-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-03T03:00:00.0/2022-06-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-06-03T04:00:00.0/2022-06-03T05:00:00.0;42.1041;13.0777;2.3090;10.7687;30.8587;9.4605;0.1521;9.3083;2.0330;0.6917,
2022-06-03T05:00:00.0/2022-06-03T06:00:00.0;249.9824;122.4754;56.1894;66.2860;275.5740;64.0870;1.3225;62.7646;7.1812;0.9750,
2022-06-03T06:00:00.0/2022-06-03T07:00:00.0;479.3434;295.2808;182.8603;112.4205;498.6364;90.4107;2.5472;87.8635;5.9325;1.0000,
2022-06-03T07:00:00.0/2022-06-03T08:00:00.0;699.8049;477.0762;330.2835;146.7927;622.2786;339.3540;118.3686;220.9855;234.1360;1.0000,
2022-06-03T08:00:00.0/2022-06-03T09:00:00.0;896.3512;644.7736;472.5743;172.1993;696.8217;596.5873;361.4410;235.1463;530.6891;1.0000,
2022-06-03T09:00:00.0/2022-06-03T10:00:00.0;1055.5967;784.1344;596.8548;187.2796;747.8339;770.9277;562.8290;208.0987;705.1005;1.0000,
2022-06-03T10:00:00.0/2022-06-03T11:00:00.0;1166.6978;883.8845;691.2947;192.5898;784.0311;874.6745;663.5048;211.1697;753.3099;1.0000,
2022-06-03T11:00:00.0/2022-06-03T12:00:00.0;1222.0924;934.7028;741.9484;192.7544;803.4756;931.3710;731.8686;199.5024;792.4263;1.0000,
2022-06-03T12:00:00.0/2022-06-03T13:00:00.0;1218.0156;933.2393;747.8626;185.3767;812.6172;925.6085;716.5802;209.0283;778.1963;1.0000,
2022-06-03T13:00:00.0/2022-06-03T14:00:00.0;1154.7560;879.8488;709.2120;170.6367;812.7712;610.5564;338.8338;271.7226;381.3219;1.0000,
2022-06-03T14:00:00.0/2022-06-03T15:00:00.0;1036.6353;778.5889;626.6754;151.9135;799.8025;627.6899;428.3831;199.3068;557.7640;1.0000,
2022-06-03T15:00:00.0/2022-06-03T16:00:00.0;871.7134;634.7534;495.8672;138.8861;751.4086;634.7534;495.8672;138.8861;751.4086;1.0000,
2022-06-03T16:00:00.0/2022-06-03T17:00:00.0;671.2387;459.8969;332.5533;127.3436;652.3823;394.7550;219.1570;175.5980;420.6514;1.0000,
2022-06-03T17:00:00.0/2022-06-03T18:00:00.0;448.8796;273.6076;171.1475;102.4602;496.3210;143.6526;13.6376;130.0150;35.6889;1.0000,
2022-06-03T18:00:00.0/2022-06-03T19:00:00.0;219.7936;104.0368;46.5052;57.5317;255.0362;56.3923;12.7391;43.6532;70.6137;1.0000,
2022-06-03T19:00:00.0/2022-06-03T20:00:00.0;26.1600;7.6480;1.1745;6.4735;19.6601;5.0236;0.0000;5.0236;0.0004;0.7750,
2022-06-03T20:00:00.0/2022-06-03T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
