# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2022-01-30T00:00:00.0,
# Date end (ISO 8601): 2025-01-01T00:00:00.0,
# Latitude (positive North,ISO 19115): 43.9804
# Longitude (positive East,ISO 19115): 0.5724
# Altitude (m): 128.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2026-01-22,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2022-01-31T00:00:00.0/2022-01-31T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T01:00:00.0/2022-01-31T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T02:00:00.0/2022-01-31T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T03:00:00.0/2022-01-31T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T04:00:00.0/2022-01-31T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T05:00:00.0/2022-01-31T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T06:00:00.0/2022-01-31T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T07:00:00.0/2022-01-31T08:00:00.0;48.9104;20.6336;9.3815;11.2521;126.3613;20.5863;9.2422;11.3441;125.0128;0.7833,
2022-01-31T08:00:00.0/2022-01-31T09:00:00.0;256.7578;154.6171;107.2609;47.3562;566.1138;110.1371;19.3914;90.7458;129.5173;1.0000,
2022-01-31T09:00:00.0/2022-01-31T10:00:00.0;442.7012;305.3389;239.4168;65.9221;755.3298;144.7507;5.5854;139.1653;18.7080;1.0000,
2022-01-31T10:00:00.0/2022-01-31T11:00:00.0;578.7163;420.0709;342.7935;77.2773;830.1886;164.2697;1.9375;162.3321;4.7186;1.0000,
2022-01-31T11:00:00.0/2022-01-31T12:00:00.0;655.5404;485.2689;401.6997;83.5692;859.5226;184.6409;1.7350;182.9059;3.7237;1.0000,
2022-01-31T12:00:00.0/2022-01-31T13:00:00.0;667.9441;493.7436;405.4408;88.3028;851.4079;195.6468;5.7775;189.8694;12.0515;1.0000,
2022-01-31T13:00:00.0/2022-01-31T14:00:00.0;615.0880;444.9305;353.8941;91.0364;806.3677;128.0719;0.8195;127.2524;1.8454;1.0000,
2022-01-31T14:00:00.0/2022-01-31T15:00:00.0;500.5812;344.5285;257.3591;87.1694;718.3413;35.6432;0.0001;35.6431;0.0001;1.0000,
2022-01-31T15:00:00.0/2022-01-31T16:00:00.0;332.2350;202.7906;129.3202;73.4704;533.4322;36.7402;0.0006;36.7396;0.0027;1.0000,
2022-01-31T16:00:00.0/2022-01-31T17:00:00.0;121.5307;53.8813;21.5623;32.3189;182.7058;15.2075;0.0000;15.2075;0.0000;0.7750,
2022-01-31T17:00:00.0/2022-01-31T18:00:00.0;0.0589;0.0129;0.0013;0.0117;0.0000;0.0064;0.0000;0.0064;0.0000;0.9833,
2022-01-31T18:00:00.0/2022-01-31T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T19:00:00.0/2022-01-31T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T20:00:00.0/2022-01-31T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T21:00:00.0/2022-01-31T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T22:00:00.0/2022-01-31T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-01-31T23:00:00.0/2022-02-01T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-01T00:00:00.0/2022-02-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-01T01:00:00.0/2022-02-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-01T02:00:00.0/2022-02-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-01T03:00:00.0/2022-02-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-01T04:00:00.0/2022-02-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-01T05:00:00.0/2022-02-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-01T06:00:00.0/2022-02-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-01T07:00:00.0/2022-02-01T08:00:00.0;51.8917;22.4079;10.3116;12.0963;133.9271;22.4079;10.3116;12.0963;133.9271;0.7750,
2022-02-01T08:00:00.0/2022-02-01T09:00:00.0;261.6257;158.6932;111.3116;47.3816;577.8068;158.6932;111.3116;47.3816;577.8068;1.0000,
2022-02-01T09:00:00.0/2022-02-01T10:00:00.0;447.9138;308.5699;243.9131;64.6568;760.4550;300.0605;229.6256;70.4349;721.2073;1.0000,
2022-02-01T10:00:00.0/2022-02-01T11:00:00.0;584.2357;423.5391;348.2228;75.3163;835.1503;297.6816;114.0149;183.6667;278.8915;1.0000,
2022-02-01T11:00:00.0/2022-02-01T12:00:00.0;661.3077;489.6516;408.1712;81.4804;865.5175;361.8943;165.0027;196.8916;347.2233;1.0000,
2022-02-01T12:00:00.0/2022-02-01T13:00:00.0;673.8836;500.1396;415.3673;84.7723;864.3711;318.0399;111.1187;206.9212;229.7121;1.0000,
2022-02-01T13:00:00.0/2022-02-01T14:00:00.0;621.1128;453.8994;368.9969;84.9025;832.5933;162.6364;6.5999;156.0366;14.3696;1.0000,
2022-02-01T14:00:00.0/2022-02-01T15:00:00.0;506.5988;355.3014;275.6603;79.6411;760.7308;58.9264;0.0001;58.9263;0.0002;1.0000,
